Partikode,endring_i_helning_per_ar,std.error,p.value,Variabel
A,5.824941390546053e-6,4.76967288297605e-7,4.9813957098979885e-29,Inntekt
H,-5.47176348869549e-6,4.788738049803988e-7,4.388385874992799e-26,Inntekt
A,0.06745238943460163,0.006634962878344537,1.482284528670267e-21,Utdanning
SV,0.03210316483279171,0.0033513145976529443,1.510165920339987e-19,Innvandrerandel
SV,-0.03804550382961101,0.004236212653639601,1.424633955464819e-17,Utdanning
A,-0.045439548196867845,0.006805642784224397,9.054013670283446e-11,Innvandrerandel
FRP,1.1534449937431e-6,1.7986651116737782e-7,4.3892726329467765e-10,Inntekt
SV,-1.1885733563662067e-6,2.4473182347302697e-7,1.7689359072510947e-6,Inntekt
RØDT,-0.01377767924883447,0.0029230707313075872,3.4639962292702653e-6,Utdanning
FRP,0.011009905726558215,0.0026520102309166645,4.10997746052469e-5,Utdanning
V,0.008101834039672101,0.001989943827906736,5.7272563521878015e-5,Utdanning
RØDT,0.008282670201297547,0.0022758221091892985,3.1244257118203864e-4,Innvandrerandel
SP,-0.0027648460260899254,8.381573692855932e-4,0.001066279329208502,Utdanning
H,0.024405618859643586,0.009495865093558343,0.010559805293486749,Innvandrerandel
KRF,0.0018877584792106013,7.518909775468342e-4,0.012479070082233597,Innvandrerandel
SP,-1.3902111936939146e-7,5.552091339743817e-8,0.01271395199646447,Inntekt
V,-0.005482046488730217,0.00236376645854957,0.02093262869400977,Innvandrerandel
H,-0.02211331797744888,0.011791511680552891,0.06153711941635579,Utdanning
FRP,-0.0045773623281114,0.002478191292588187,0.06554352857355387,Innvandrerandel
KRF,1.0570328521796891e-7,5.821560243805763e-8,0.07022689842535085,Inntekt
V,2.9495246635309265e-7,2.0495702555939653e-7,0.15097384086098464,Inntekt
KRF,-0.0011389971202924334,8.643366293089265e-4,0.18840254529760944,Utdanning
MDG,-0.005137055772587291,0.004246386982998943,0.22715448150169643,Innvandrerandel
MDG,-2.9080387888193496e-7,3.449272574534661e-7,0.3997271187527076,Inntekt
MDG,-0.0024426414417122754,0.004272127783604161,0.5678330628864294,Utdanning
SP,-2.1227494113686067e-4,7.441240754978172e-4,0.7755995903165489,Innvandrerandel
RØDT,6.771314469929804e-9,1.5336141120948684e-7,0.9648066635859925,Inntekt
