Partikode,Side,År,estimate,std.error,p.value,r.squared,n,Variabel
A,Venstresida,2015,-6.0839131899782124e-5,5.343545868909291e-6,1.736166405392164e-18,0.615440165951068,83,Inntekt
A,Venstresida,2019,-3.9115301535755736e-5,3.329847858696558e-6,4.496075390151128e-20,0.5973834892942705,95,Inntekt
A,Venstresida,2023,-2.2045633220714158e-5,1.8973974753848247e-6,6.0881053932299106e-20,0.5869535910291597,97,Inntekt
A,Venstresida,2025,-1.578604438537935e-5,1.6393722849566388e-6,1.0240520435643759e-15,0.4939375079602908,97,Inntekt
FRP,Høyresida,2015,-2.5425076015394407e-6,1.2438259742295369e-6,0.04419260054913265,0.04905418119801519,83,Inntekt
FRP,Høyresida,2019,4.5742359176412153e-7,1.1429840083692722e-6,0.6899261059555213,0.0017192007051784778,95,Inntekt
FRP,Høyresida,2023,1.2343719103401667e-6,9.015253372404443e-7,0.1741639611299042,0.0193519944412069,97,Inntekt
FRP,Høyresida,2025,5.353054384021475e-6,1.1634064623209468e-6,1.2976137217361586e-5,0.18223962909681846,97,Inntekt
H,Høyresida,2015,7.922757962059313e-5,4.4821809914859955e-6,1.5699743470701193e-29,0.7941264015788924,83,Inntekt
H,Høyresida,2019,7.618129099028598e-5,3.7456584212091255e-6,5.3064287266808936e-36,0.8164438449494871,95,Inntekt
H,Høyresida,2023,4.484878625223591e-5,3.070631833748761e-6,5.0555263000615937e-26,0.6918855956387906,97,Inntekt
H,Høyresida,2025,3.516849565751281e-5,1.935295101231026e-6,1.1166571503040007e-32,0.7765901590187316,97,Inntekt
KRF,Høyresida,2015,-1.6071922221914834e-7,6.290948309219702e-7,0.7990023702409034,8.051347757265327e-4,83,Inntekt
KRF,Høyresida,2019,-2.8392814665882474e-7,4.727104649477877e-7,0.5495417328456901,0.0038642218488414717,95,Inntekt
KRF,Høyresida,2023,-4.3399625857563695e-7,3.703948644315398e-7,0.24424278761779247,0.014245807954905054,97,Inntekt
KRF,Høyresida,2025,4.341926746929837e-7,3.0426494924165723e-7,0.1568522074973787,0.020985846824861744,97,Inntekt
MDG,Venstresida,2015,-2.850996325453244e-6,2.0694342670149695e-06,0.1720999408605958,0.02289528906730716,83,Inntekt
MDG,Venstresida,2019,9.750097968419573e-8,3.943578240547978e-6,0.9803280947429767,6.572812334595684e-6,95,Inntekt
MDG,Venstresida,2023,-2.728170228845966e-6,1.8735665840815937e-6,0.14865168361232664,0.021832048681057974,97,Inntekt
MDG,Venstresida,2025,-6.405409189752245e-7,1.8141346295505306e-6,0.724808132944694,0.0013105740856857982,97,Inntekt
RØDT,Venstresida,2015,-8.975195572125726e-6,1.589411191558861e-6,2.3442021261187292e-7,0.28246907734521526,83,Inntekt
RØDT,Venstresida,2019,-1.3357846347965412e-5,1.2538434149074576e-6,8.58508543725146e-18,0.5496313428409123,95,Inntekt
RØDT,Venstresida,2023,-8.439231522320795e-6,8.834730757501733e-7,1.496037054273523e-15,0.4899249984038482,97,Inntekt
RØDT,Venstresida,2025,-1.1064235011651552e-5,9.340924960862329e-7,2.0460353295839298e-20,0.5962630569960785,97,Inntekt
SP,Venstresida,2015,-8.455458058283697e-7,1.8389363763347175e-7,1.552825930256936e-5,0.20698438823489898,83,Inntekt
SP,Venstresida,2019,-2.2180430078096784e-6,3.858570858922528e-7,1.1361788433453652e-7,0.26215990392805744,95,Inntekt
SP,Venstresida,2023,-1.6974815115266364e-6,2.4309734846504466e-7,3.914576128294806e-10,0.339169161713483,97,Inntekt
SP,Venstresida,2025,-7.180773058472498e-7,1.5477041175054143e-7,1.1155537106843746e-5,0.1847324111997127,97,Inntekt
SV,Venstresida,2015,-7.703688988182166e-6,1.560558496937089e-6,4.189063822791574e-6,0.23127281960327448,83,Inntekt
SV,Venstresida,2019,-1.1890336319617727e-5,1.7854547898813006e-6,1.898246213500691e-9,0.32289616513723823,95,Inntekt
SV,Venstresida,2023,-1.1272770607610356e-5,1.2982239028048958e-6,1.0734301114056774e-13,0.44248303195343575,97,Inntekt
SV,Venstresida,2025,-2.2374302108701275e-5,2.1173832304551716e-6,1.0209675366349348e-17,0.5403091437779814,97,Inntekt
V,Høyresida,2015,6.8802800602902385e-6,1.7900824379033508e-6,2.4013813138539303e-4,0.15424939446395072,83,Inntekt
V,Høyresida,2019,1.0765885120845678e-5,1.3756925569853794e-6,7.821932367082903e-12,0.39705543415172156,95,Inntekt
V,Høyresida,2023,9.10808227144052e-6,1.538092958692947e-6,5.061011583518218e-8,0.2696027173758015,97,Inntekt
V,Høyresida,2025,1.1825049220698046e-5,1.088484546285685e-6,2.3899245760601865e-18,0.5540357672531473,97,Inntekt
A,Venstresida,2015,0.7216445985987819,0.0637891697429453,2.3917729120829547e-18,0.6124089629476108,83,Innvandrerandel
A,Venstresida,2019,0.4233502498381801,0.031216295956541427,9.286369718081445e-24,0.6641670148354043,95,Innvandrerandel
A,Venstresida,2023,0.3110042457032608,0.027297802096316087,1.8174100870380614e-19,0.5774035856550431,97,Innvandrerandel
A,Venstresida,2025,0.1500206056974049,0.0295395340671321,1.920053565408224e-6,0.21531023768815177,96,Innvandrerandel
FRP,Høyresida,2015,0.04540355453102159,0.014303206479208316,0.0021236161716167894,0.11063848164101707,83,Innvandrerandel
FRP,Høyresida,2019,0.017974307403695964,0.011593479511457562,0.12444664468023399,0.025194839899556436,95,Innvandrerandel
FRP,Høyresida,2023,0.01384156989820229,0.012870623004157176,0.2849019588639005,0.012027977375806577,97,Innvandrerandel
FRP,Høyresida,2025,-0.030363138422088206,0.01845037902829744,0.10317264749096916,0.02800395546178365,96,Innvandrerandel
H,Høyresida,2015,-0.6714013406404888,0.09073259936358168,1.1295188699906762e-10,0.40334460660670746,83,Innvandrerandel
