Partikode,Side,År,Variabel,enkel,kontrollert,andel_forklart_av_andre
A,Venstresida,2015,Inntekt,-6.0839131899782124e-5,-2.787059185271839e-5,0.54
A,Venstresida,2019,Inntekt,-3.9115301535755736e-5,-1.6473733179651932e-5,0.58
A,Venstresida,2021,Inntekt,-1.7772247434578305e-5,-8.941059983305017e-6,0.5
A,Venstresida,2023,Inntekt,-2.2045633220714158e-5,-1.249074913144213e-5,0.43
A,Venstresida,2025,Inntekt,-1.578604438537935e-5,-1.600263841938661e-5,-0.01
FRP,Høyresida,2015,Inntekt,-2.5425076015394407e-6,2.9021100966873807e-6,2.14
FRP,Høyresida,2019,Inntekt,4.5742359176412153e-7,5.129151723189374e-6,-10.21
FRP,Høyresida,2021,Inntekt,9.620352034846961e-7,2.8276063391812045e-6,-1.94
FRP,Høyresida,2023,Inntekt,1.2343719103401667e-6,4.010401721919916e-6,-2.25
FRP,Høyresida,2025,Inntekt,5.353054384021475e-6,7.917865659339796e-6,-0.48
H,Høyresida,2015,Inntekt,7.922757962059313e-5,7.54367946251448e-5,0.05
H,Høyresida,2019,Inntekt,7.618129099028598e-5,7.658017313454614e-5,-0.01
H,Høyresida,2021,Inntekt,3.274577971843771e-5,2.7734729205162906e-5,0.15
H,Høyresida,2023,Inntekt,4.484878625223591e-5,4.1178668309053e-5,0.08
H,Høyresida,2025,Inntekt,3.516849565751281e-5,3.098363736773331e-5,0.12
KRF,Høyresida,2015,Inntekt,-1.6071922221914834e-7,-1.6169634509279006e-6,-9.06
KRF,Høyresida,2019,Inntekt,-2.8392814665882474e-7,-3.7335869378711085e-7,-0.31
KRF,Høyresida,2021,Inntekt,-3.8771031914525526e-7,-1.6239012541352944e-7,0.58
KRF,Høyresida,2023,Inntekt,-4.3399625857563695e-7,1.7791516119622624e-7,1.41
KRF,Høyresida,2025,Inntekt,4.341926746929837e-7,7.607633550166406e-7,-0.75
MDG,Venstresida,2015,Inntekt,-2.850996325453244e-6,-1.4446300888457935e-5,-4.07
MDG,Venstresida,2019,Inntekt,9.750097968419573e-8,-2.7140356014234732e-5,279.36
MDG,Venstresida,2021,Inntekt,-2.006913744234991e-7,-5.597089292288524e-6,-26.89
MDG,Venstresida,2023,Inntekt,-2.728170228845966e-6,-1.2130922256083758e-5,-3.45
MDG,Venstresida,2025,Inntekt,-6.405409189752245e-7,-1.2456737646286742e-5,-18.45
RØDT,Venstresida,2015,Inntekt,-8.975195572125726e-6,-1.336477755836274e-5,-0.49
RØDT,Venstresida,2019,Inntekt,-1.3357846347965412e-5,-1.482954779978796e-5,-0.11
