Partikode,Side,År,samspill,std.error,p.value,Samspillsledd
A,Venstresida,2015,-0.788779323582117,1.3108258720398767,0.5490907924274342,Innvandrerandel × inntekt
A,Venstresida,2019,-1.7672460344051428,0.72300312343463,0.016462037779899796,Innvandrerandel × inntekt
A,Venstresida,2021,-0.9338821040029894,0.8045032457846972,0.2486552977431613,Innvandrerandel × inntekt
A,Venstresida,2023,-1.6081820503325563,0.7414246459347285,0.032657669664060494,Innvandrerandel × inntekt
A,Venstresida,2025,-0.735519315636151,0.8047006979665506,0.36311738693395823,Innvandrerandel × inntekt
FRP,Høyresida,2015,0.21559941596830334,0.2811320079731479,0.44545753655517106,Innvandrerandel × inntekt
FRP,Høyresida,2019,0.40782561980544707,0.24297558693426163,0.09672583744740233,Innvandrerandel × inntekt
FRP,Høyresida,2021,1.1041412423410168,0.3514476459090178,0.0022465752573982835,Innvandrerandel × inntekt
FRP,Høyresida,2023,1.3084222084582873,0.30630919987941313,4.7219627488069144e-5,Innvandrerandel × inntekt
FRP,Høyresida,2025,2.348977598558668,0.552402535227371,5.118057564542468e-5,Innvandrerandel × inntekt
H,Høyresida,2015,1.703927825954672,1.8147764732998115,0.35067087125134555,Innvandrerandel × inntekt
H,Høyresida,2019,1.4135428002819994,1.3225496690371221,0.2880175184400912,Innvandrerandel × inntekt
H,Høyresida,2021,2.8436348566720686,1.4416602530173093,0.051494088834818916,Innvandrerandel × inntekt
H,Høyresida,2023,3.2386342000884434,1.679885338407842,0.05695308967079252,Innvandrerandel × inntekt
H,Høyresida,2025,1.539048009868851,1.049090586631432,0.14581529925843176,Innvandrerandel × inntekt
KRF,Høyresida,2015,-0.18988505203308412,0.24271825977390588,0.43639099643113044,Innvandrerandel × inntekt
KRF,Høyresida,2019,-0.057564841802644415,0.15975358502992162,0.7194407570154877,Innvandrerandel × inntekt
KRF,Høyresida,2021,-0.07601192722907012,0.17251115781167978,0.6604995146965595,Innvandrerandel × inntekt
KRF,Høyresida,2023,0.057286877558814966,0.19663150571635732,0.7714461610919316,Innvandrerandel × inntekt
KRF,Høyresida,2025,0.3783294670113783,0.16269931231637236,0.022277735675852568,Innvandrerandel × inntekt
MDG,Venstresida,2015,-0.28977390140854664,0.4333455896020555,0.5056674166880409,Innvandrerandel × inntekt
MDG,Venstresida,2019,-0.9637029829802679,0.5977646483939029,0.11042464117842736,Innvandrerandel × inntekt
MDG,Venstresida,2021,-0.582845746290734,0.410350138222881,0.1588107459586577,Innvandrerandel × inntekt
MDG,Venstresida,2023,-0.7592462557608577,0.6078312921520266,0.21479483537390012,Innvandrerandel × inntekt
MDG,Venstresida,2025,-0.7525308447688177,0.5818851042411043,0.1991933075472592,Innvandrerandel × inntekt
RØDT,Venstresida,2015,-0.2772217852108284,0.5311150905169445,0.6031760874717941,Innvandrerandel × inntekt
RØDT,Venstresida,2019,0.028289699196358927,0.41455256481236863,0.9457447555190083,Innvandrerandel × inntekt
RØDT,Venstresida,2021,-0.7465823410856881,0.6422274281406233,0.24797976168924452,Innvandrerandel × inntekt
RØDT,Venstresida,2023,-0.9085450004593596,0.4536902803412858,0.048167567883663664,Innvandrerandel × inntekt
RØDT,Venstresida,2025,-0.7518108272748397,0.46839259934891453,0.11193967620554868,Innvandrerandel × inntekt
SP,Venstresida,2015,0.14645677484268066,0.07297733891455845,0.0482273647197582,Innvandrerandel × inntekt
SP,Venstresida,2019,0.1365959643600903,0.12935070163666912,0.29378895582187364,Innvandrerandel × inntekt
SP,Venstresida,2021,0.051777631132079144,0.2735799611668417,0.8502974180101855,Innvandrerandel × inntekt
SP,Venstresida,2023,-0.04440232276149151,0.10257170200508181,0.6661074251703061,Innvandrerandel × inntekt
SP,Venstresida,2025,0.07778690168962127,0.08492352278985336,0.362106667523036,Innvandrerandel × inntekt
SV,Venstresida,2015,-0.18567269613981383,0.5043518144808401,0.7137651291463135,Innvandrerandel × inntekt
SV,Venstresida,2019,0.04381114418868311,0.4810417750737668,0.9276349601739635,Innvandrerandel × inntekt
SV,Venstresida,2021,-2.073790353382964,0.8122782328959794,0.012288325414217172,Innvandrerandel × inntekt
SV,Venstresida,2023,-1.4077315975920905,0.681437726377986,0.04165695547503959,Innvandrerandel × inntekt
SV,Venstresida,2025,-2.3101869889372773,0.796687808680354,0.004681207449822468,Innvandrerandel × inntekt
V,Høyresida,2015,-0.42973803248408227,0.3133916148079701,0.1742295188897311,Innvandrerandel × inntekt
V,Høyresida,2019,0.22740583610304718,0.29745861611496016,0.44657173069878753,Innvandrerandel × inntekt
V,Høyresida,2021,0.4027092065535398,0.5077504096288289,0.4297027664281725,Innvandrerandel × inntekt
V,Høyresida,2023,0.11957890347980275,0.42997499367175246,0.7815545579654256,Innvandrerandel × inntekt
V,Høyresida,2025,0.2405795520206909,0.3826154632420043,0.5310706487012216,Innvandrerandel × inntekt
A,Venstresida,2015,-1.4150117199899797,0.7317118217413756,0.056760668483193465,Innvandrerandel × utdanning
A,Venstresida,2019,-1.4037561583465545,0.4465023458124014,0.0022585750938814322,Innvandrerandel × utdanning
A,Venstresida,2021,-0.5686061702074396,0.3976406861688082,0.15604689896983226,Innvandrerandel × utdanning
A,Venstresida,2023,-0.7183383862275794,0.38654268979807965,0.06631444568799999,Innvandrerandel × utdanning
A,Venstresida,2025,-0.8206211592129279,0.4358876331756595,0.06294359506170884,Innvandrerandel × utdanning
FRP,Høyresida,2015,-0.13379728157668083,0.16016439736649712,0.40605836750584845,Innvandrerandel × utdanning
FRP,Høyresida,2019,0.08065238591252036,0.15522393699609827,0.6046268079746825,Innvandrerandel × utdanning
FRP,Høyresida,2021,0.3609993191103604,0.17944609666236774,0.04710984536347671,Innvandrerandel × utdanning
FRP,Høyresida,2023,0.39560441739491053,0.1687120507965428,0.021185335443976598,Innvandrerandel × utdanning
FRP,Høyresida,2025,1.04887624511045,0.31369086779446104,0.0012017799401682853,Innvandrerandel × utdanning
H,Høyresida,2015,-0.43053810093485706,1.039309830596448,0.6798251993520283,Innvandrerandel × utdanning
H,Høyresida,2019,-0.15809254057670874,0.8383365713842241,0.8508474939108938,Innvandrerandel × utdanning
H,Høyresida,2021,-0.21042777970275792,0.7294955665921653,0.7736323959166005,Innvandrerandel × utdanning
H,Høyresida,2023,-0.2384466815619564,0.8871801793768542,0.7887091089402911,Innvandrerandel × utdanning
H,Høyresida,2025,0.04609209070007175,0.5833466201993526,0.937195604964553,Innvandrerandel × utdanning
KRF,Høyresida,2015,-0.07580727057433725,0.13865250067650883,0.5861161226106772,Innvandrerandel × utdanning
KRF,Høyresida,2019,0.03021798545821433,0.10066992875076666,0.7647405277920711,Innvandrerandel × utdanning
KRF,Høyresida,2021,-0.039474459669962256,0.08556957130585788,0.6456388826742596,Innvandrerandel × utdanning
KRF,Høyresida,2023,0.059324734527205096,0.10170782165941175,0.5611280422587247,Innvandrerandel × utdanning
KRF,Høyresida,2025,0.15095686246543136,0.09066852545779229,0.09936597258540894,Innvandrerandel × utdanning
MDG,Venstresida,2015,0.5235213641347949,0.2405662455045433,0.03256642184606272,Innvandrerandel × utdanning
MDG,Venstresida,2019,0.17880909771496592,0.3815368552810389,0.6404495319489392,Innvandrerandel × utdanning
MDG,Venstresida,2021,0.10491399345932406,0.20545150639107876,0.6107927130243971,Innvandrerandel × utdanning
MDG,Venstresida,2023,0.5827411626222904,0.3116282267974915,0.06466539457212413,Innvandrerandel × utdanning
MDG,Venstresida,2025,0.2053612551787613,0.32201529091730774,0.5252459724487151,Innvandrerandel × utdanning
RØDT,Venstresida,2015,0.8030986361551692,0.289371116346691,0.006899786830245524,Innvandrerandel × utdanning
RØDT,Venstresida,2019,0.6086423521093574,0.25318033929087586,0.018267450324139605,Innvandrerandel × utdanning
RØDT,Venstresida,2021,0.5697296631003518,0.31544663748277846,0.07410233572784758,Innvandrerandel × utdanning
RØDT,Venstresida,2023,0.1347852808967708,0.23965231993439845,0.5751976982366482,Innvandrerandel × utdanning
RØDT,Venstresida,2025,0.28323280922511584,0.2593568587413658,0.2776902924418008,Innvandrerandel × utdanning
SP,Venstresida,2015,0.07999440643799122,0.04169323166147091,0.05868837033102524,Innvandrerandel × utdanning
SP,Venstresida,2019,0.005506791790665231,0.081994620703246,0.9466029821128104,Innvandrerandel × utdanning
SP,Venstresida,2021,-0.1800154635566953,0.13446552451101795,0.1838814498706771,Innvandrerandel × utdanning
SP,Venstresida,2023,-0.04564761966044843,0.052969530703990894,0.3910540302964256,Innvandrerandel × utdanning
SP,Venstresida,2025,0.028236070196358265,0.04679576936798771,0.5477507308423558,Innvandrerandel × utdanning
SV,Venstresida,2015,0.5897366534536179,0.2799317235698661,0.03835693350925579,Innvandrerandel × utdanning
SV,Venstresida,2019,0.6106745838567035,0.29616453415663674,0.04209657429220971,Innvandrerandel × utdanning
SV,Venstresida,2021,0.270051981549139,0.415753305841005,0.5175679420880686,Innvandrerandel × utdanning
SV,Venstresida,2023,0.21936061658226663,0.3603312866610824,0.5441739615667209,Innvandrerandel × utdanning
SV,Venstresida,2025,-0.7368493239451411,0.451082751469451,0.10581656318308467,Innvandrerandel × utdanning
V,Høyresida,2015,-0.10539045728006537,0.18041419423116173,0.560799480736373,Innvandrerandel × utdanning
V,Høyresida,2019,-0.0017341356018461083,0.18801188793107027,0.992661196988726,Innvandrerandel × utdanning
V,Høyresida,2021,-0.2240436612239899,0.2516637194863935,0.37560444149140093,Innvandrerandel × utdanning
V,Høyresida,2023,-0.15219501654395343,0.22224095927712584,0.49517932951034094,Innvandrerandel × utdanning
V,Høyresida,2025,-0.12051332869775569,0.2103657122447672,0.5681419477755695,Innvandrerandel × utdanning
