År,Variabel,VIF
2015,Snittinntekt,1.8647987028887414
2015,Innvandrerandel,2.6493733768478065
2015,AndelHoyereUtdanning,2.4195994416730904
2019,Snittinntekt,2.0846690978793205
2019,Innvandrerandel,3.6323253021004267
2019,AndelHoyereUtdanning,2.980123166949948
2021,Snittinntekt,1.5894695972077504
2021,Innvandrerandel,3.466050868080926
2021,AndelHoyereUtdanning,3.2139431690388838
2023,Snittinntekt,1.7620732645248633
2023,Innvandrerandel,3.5982478073978963
2023,AndelHoyereUtdanning,3.074870626269203
2025,Snittinntekt,1.8700720959402817
2025,Innvandrerandel,3.894607748633189
2025,AndelHoyereUtdanning,3.2987382494995208
