Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall valgtingstemmer totalt;Antall stemmer parti
03;Oslo;0301;Oslo;0101;Vahl skole;A;Arbeiderpartiet;37,65718;4818;1517;569
03;Oslo;0301;Oslo;0101;Vahl skole;SV;Sosialistisk Venstreparti;16,94242;4818;1517;256
03;Oslo;0301;Oslo;0101;Vahl skole;RØDT;Rødt;14,03044;4818;1517;212
03;Oslo;0301;Oslo;0101;Vahl skole;SP;Senterpartiet;1,72071;4818;1517;26
03;Oslo;0301;Oslo;0101;Vahl skole;KRF;Kristelig Folkeparti;1,85308;4818;1517;28
03;Oslo;0301;Oslo;0101;Vahl skole;MDG;Miljøpartiet De Grønne;8,1403;4818;1517;123
03;Oslo;0301;Oslo;0101;Vahl skole;V;Venstre;6,28723;4818;1517;95
03;Oslo;0301;Oslo;0101;Vahl skole;H;Høyre;8,93448;4818;1517;135
03;Oslo;0301;Oslo;0101;Vahl skole;FRP;Fremskrittspartiet;3,57379;4818;1517;54
03;Oslo;0301;Oslo;0101;Vahl skole;ALLI;Alliansen;0,06618;4818;1517;1
03;Oslo;0301;Oslo;0101;Vahl skole;DEMN;Demokratene i Norge;0,06618;4818;1517;1
03;Oslo;0301;Oslo;0101;Vahl skole;HELSE;Helsepartiet;0,13236;4818;1517;2
03;Oslo;0301;Oslo;0101;Vahl skole;KRISTNE;Partiet De Kristne;0,0;4818;1517;0
03;Oslo;0301;Oslo;0101;Vahl skole;LIBS;Liberalistene;0,13236;4818;1517;2
03;Oslo;0301;Oslo;0101;Vahl skole;NKP;Norges Kommunistiske Parti;0,0;4818;1517;0
03;Oslo;0301;Oslo;0101;Vahl skole;PIR;Piratpartiet;0,26473;4818;1517;4
03;Oslo;0301;Oslo;0101;Vahl skole;PP;Pensjonistpartiet;0,06618;4818;1517;1
03;Oslo;0301;Oslo;0101;Vahl skole;SAMFS;Samfunnspartiet;0,0;4818;1517;0
03;Oslo;0301;Oslo;0101;Vahl skole;BLANKE;Blanke;0,39709;4818;1517;6
